participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c143051,5,5,slan,tway,bfiw,hvfn,3,Illegal_IA,4445,High_Ortho,1,1,1,0.1667,452,0.1,1,1,0.1667,452,1,1,18,TRUE,18,1
c143051,5,5,slan,tway,bfiw,hvfn,3,Unpron_IA,4445,High_Ortho,1,1,1,0.1667,302,0.0668,1,1,0.1667,302,1,1,18,TRUE,18,1
c143051,6,6,blet,syod,vyuj,tvqf,3,High_Ortho_IA,4706,High_Ortho,1,1,4,0.4444,3720,0.7789,3,1,0.1111,416,1,1,18,TRUE,18,1
c143051,6,6,blet,syod,vyuj,tvqf,3,Low_Ortho_IA,4706,High_Ortho,1,1,2,0.2222,280,0.0586,1,2,0.2222,280,1,1,18,TRUE,18,1
c143051,6,6,blet,syod,vyuj,tvqf,3,Illegal_IA,4706,High_Ortho,1,1,1,0.1111,244,0.0511,1,1,0.1111,244,1,1,18,TRUE,18,1
c143051,6,6,blet,syod,vyuj,tvqf,3,Unpron_IA,4706,High_Ortho,1,1,1,0.1111,322,0.0674,1,1,0.1111,322,1,1,18,TRUE,18,1
c143051,7,7,pred,syew,pvuj,rxbf,4,High_Ortho_IA,6991,High_Ortho,1,1,2,0.1429,1696,0.2499,2,1,0.0714,1228,1,1,18,TRUE,18,1
c143051,7,7,pred,syew,pvuj,rxbf,4,Low_Ortho_IA,6991,High_Ortho,1,1,5,0.3571,3200,0.4714,4,1,0.0714,372,1,1,18,TRUE,18,1
c143051,7,7,pred,syew,pvuj,rxbf,4,Illegal_IA,6991,High_Ortho,1,1,3,0.2143,996,0.1467,3,1,0.0714,640,1,1,18,TRUE,18,1
c143051,7,7,pred,syew,pvuj,rxbf,4,Unpron_IA,6991,High_Ortho,1,1,3,0.2143,614,0.0905,2,1,0.0714,322,1,1,18,TRUE,18,1
